,Roseburia intestinalis,Phocaeicola vulgatus,Bacteroides uniformis,[Ruminococcus] gnavus,Escherichia coli,Enterocloster clostridioformis,Parabacteroides distasonis,Flavonifractor plautii,Bifidobacterium pseudocatenulatum,Erysipelatoclostridium ramosum,Veillonella atypica,[Clostridium] innocuum,Hungatella hathewayi,Veillonella dispar,Haemophilus sp. HMSC71H05,Veillonella infantium,Bifidobacterium bifidum,Bifidobacterium longum,Haemophilus parainfluenzae,Veillonella parvula,Gordonibacter pamelaeae,Intestinibacter bartlettii,Clostridium neonatale,Bifidobacterium breve,Veillonella sp. T11011-6,Anaerotruncus colihominis,Streptococcus thermophilus,Bifidobacterium dentium,Enterococcus faecium,Tyzzerella nexilis,Megasphaera micronuciformis,Campylobacter concisus,Phocaeicola dorei,Bacteroides faecis,Bifidobacterium adolescentis,Dorea formicigenerans,Coprococcus comes,Collinsella aerofaciens,Parabacteroides merdae,Faecalitalea cylindroides,Bacteroides ovatus,[Ruminococcus] torques,Lacticaseibacillus rhamnosus,Phascolarctobacterium faecium,Bacteroides salyersiae,Blautia wexlerae,Bacteroides caccae,Alistipes putredinis,[Eubacterium] rectale,Eggerthella lenta,Bacteroides fragilis,Eubacterium limosum,Alistipes finegoldii,Enterocloster bolteae,Veillonella rogosae,Streptococcus mitis,Clostridium bolteae CAG:59,Faecalibacterium prausnitzii,Prevotella bivia,Holdemania filiformis,Aeriscardovia aeriphila,Barnesiella intestinihominis,Roseburia faecis,Anaerostipes hadrus,Fusicatenibacter saccharivorans,Roseburia hominis,Ruminococcus bromii,Roseburia inulinivorans,Ruthenibacterium lactatiformans,Bilophila wadsworthia,Coprobacillus cateniformis,Enterocloster asparagiformis,Butyricimonas synergistica,Parabacteroides goldsteinii,Alistipes shahii,Butyricimonas virosa,Victivallis vadensis,Clostridium paraputrificum,Enterocloster lavalensis,Klebsiella michiganensis,Christensenella minuta,Collinsella intestinalis,Streptococcus parasanguinis,Lachnospira pectinoschiza,Eubacterium sp. CAG:180,Eubacterium sp. CAG:38,Dorea longicatena,Lachnospira eligens,Bacteroides galacturonicus,[Clostridium] symbiosum,Gemmiger formicilis,Coprobacter secundus,Blautia obeum,Lactobacillus rogosae,Adlercreutzia equolifaciens,Streptococcus lutetiensis,Enterococcus gallinarum,Enterococcus casseliflavus,Varibaculum cambriense,Citrobacter freundii,Atlantibacter hermannii,Prevotella copri,Prevotella buccae,Acinetobacter pittii,Roseburia sp. CAG:182,Klebsiella oxytoca,Actinomyces sp. ICM47,Blautia hansenii,Bacteroides xylanisolvens,Bacteroides thetaiotaomicron,Dialister invisus,Bacteroides stercoris,Enterocloster aldenensis,Anaerobutyricum hallii,Enterococcus faecalis,Klebsiella pneumoniae,Klebsiella variicola,Klebsiella quasipneumoniae,Gemella haemolysans,Citrobacter youngae,Streptococcus sp. SK643,Paraclostridium bifermentans,Proteobacteria bacterium CAG:139,Anaeroglobus geminatus,Limosilactobacillus mucosae,Turicimonas muris,Parasutterella excrementihominis,Schaalia turicensis,Actinomyces urogenitalis,Streptococcus salivarius,Ligilactobacillus ruminis,Staphylococcus epidermidis,Staphylococcus hominis,Peptostreptococcus anaerobius,Enorma massiliensis,Fusobacterium nucleatum,Slackia isoflavoniconvertens,Megasphaera elsdenii,Bacteroides faecis CAG:32,Phocaeicola plebeius,Lactobacillus paragasseri,Clostridium perfringens,Haemophilus haemolyticus,Blautia sp. CAG:257,Sellimonas intestinalis,Anaerostipes caccae,Bacteroides cellulosilyticus,Clostridium sp. D5,Clostridioides difficile,Gemella sanguinis,Schaalia odontolytica,Actinomyces naeslundii,[Ruminococcus] lactaris,Akkermansia muciniphila,Alistipes inops,Ruminococcus bicirculans,Odoribacter splanchnicus,Firmicutes bacterium CAG:83,Alistipes indistinctus,Firmicutes bacterium CAG:110,Bifidobacterium animalis,Intestinimonas butyriciproducens,Clostridium sp. CAG:58,Agathobaculum butyriciproducens,Enterocloster citroniae,[Eubacterium] siraeum,Bacteroides finegoldii,Coprococcus catus,Eubacterium ramulus,Ruminococcus callidus,Turicibacter sanguinis,Lawsonibacter asaccharolyticus,Holdemanella biformis,Ruminococcus obeum CAG:39,Eisenbergiella massiliensis,Veillonella tobetsuensis,Blautia producta,Firmicutes bacterium CAG:424,Butyricicoccus pullicaecorum,Firmicutes bacterium CAG:646,[Clostridium] spiroforme,Massilimicrobiota timonensis,Blautia coccoides,Streptococcus sp. A12,Clostridium butyricum,Enterococcus avium,Leuconostoc gelidum,Proteus mirabilis,Actinomyces sp. HPA0247,Haemophilus parahaemolyticus,Lachnoclostridium sp. An118,Eubacterium ventriosum,Roseburia sp. CAG:309,Lactobacillus acidophilus,[Clostridium] leptum,Oscillibacter sp. 57_20,Firmicutes bacterium CAG:145,Lactococcus lactis,Roseburia sp. CAG:471,Pseudoflavonifractor sp. An184,Streptococcus infantis,Eubacterium sp. CAG:274,Lachnospiraceae bacterium oral taxon 096,Streptococcus oralis,Citrobacter braakii,Prevotella corporis,Lactococcus raffinolactis,Citrobacter koseri,Haemophilus sputorum,Citrobacter farmeri,Prevotella disiens,Selenomonas artemidis,Eisenbergiella tayi,Actinomyces sp. HMSC035G02,Actinomyces oris,Selenomonas noxia,[Clostridium] scindens,Bacteroides sp. CAG:443,Bacteroides clarus,Dorea sp. CAG:317,Fusobacterium mortiferum,Streptococcus pasteurianus,Clostridium sp. CAG:167,Murimonas intestini,Hungatella effluvii,Dielma fastidiosa,Streptococcus australis,Anaeromassilibacillus sp. An250,Bifidobacterium catenulatum,Eubacterium sp. CAG:251,Prevotella sp. CAG:891,Desulfovibrio piger,Megamonas funiformis,Megamonas funiformis CAG:377,Firmicutes bacterium CAG:94,Megamonas hypermegale,Desulfovibrionaceae bacterium,Ruminococcaceae bacterium D16,Adlercreutzia caecimuris,Coprococcus eutactus,Eubacterium sp. OM08-24,Clostridium sp. CAG:299,Clostridium sp. CAG:242,Lacrimispora saccharolytica,Leuconostoc mesenteroides,Lachnoclostridium sp. An131,Streptococcus sanguinis,Corynebacterium argentoratense,Aggregatibacter aphrophilus,Lachnoclostridium sp. An138,Alistipes onderdonkii,Coprobacter fastidiosus,Enterococcus malodoratus,Terrisporobacter othiniensis,Bifidobacterium pseudolongum,Lachnoclostridium sp. An76,Allisonella histaminiformans,Clostridiales bacterium 1_7_47FAA,[Clostridium] methylpentosum,Oscillibacter sp. CAG:241,Propionibacterium freudenreichii,Denitrobacterium detoxificans,Streptococcus sp. F0442,Raoultella planticola,Actinomyces graevenitzii,Clostridium disporicum,Phocaeicola massiliensis,Phascolarctobacterium succinatutens,Blautia hydrogenotrophica,Sanguibacteroides justesenii,Atopobium minutum,Parvimonas sp. KA00067,Prevotella buccalis,Campylobacter hominis,Porphyromonas sp. HMSC065F10,Gemella morbillorum,Ezakiella coagulans,Monoglobus pectinilyticus,Streptococcus salivarius CAG:79,Campylobacter gracilis,Bacteroides eggerthii,Hungatella xylanolytica,Haemophilus paraphrohaemolyticus,Fusobacterium sp. CAG:439,Dialister pneumosintes,Haemophilus pittmaniae,Christensenella hongkongensis,Clostridiales bacterium CHKCI006,Lachnoclostridium sp. An181,Streptococcus vestibularis,Roseburia sp. CAG:303,Rothia dentocariosa,Sarcina ventriculi,Pediococcus acidilactici,Ligilactobacillus agilis,Limosilactobacillus fermentum,Anaerotignum lactatifermentans,Streptococcus peroris,Desulfovibrio fairfieldensis,Campylobacter showae,Robinsoniella sp. RHS,Actinomyces sp. oral taxon 181,Fusobacterium periodonticum,Faecalicatena orotica,Anaerotruncus sp. CAG:528,Citrobacter pasteurii,Solobacterium moorei,Campylobacter upsaliensis,Bacteroides nordii,Lactonifactor longoviformis,Acidaminococcus intestini,Tractidigestivibacter scatoligenes,Ligilactobacillus saerimneri,Morganella morganii,Limosilactobacillus oris,Peptostreptococcus stomatis,Proteus vulgaris,Paraprevotella xylaniphila,Leuconostoc pseudomesenteroides,Prevotella colorans,Bifidobacterium angulatum,Enterococcus durans,Paraprevotella clara,Escherichia marmotae,Streptococcus mutans,Firmicutes bacterium CAG:95,Lactobacillus delbrueckii,Prevotella sp. CAG:279,disease
PRJNA231909.3105829,0,0.0167,3.02192,38.00931,0.55711,0.33324,0.6173,1.08905,0,3.45239,0,0.11099,0.15318,0,0.00666,0,2.42944,6.19871,0,12.79596,0.04242,0.12022,0,0,0,0.00308,0,0,0,0,0,0,5.43248,0,3.16917,0,0,3.01368,0,0,0,0,0,0,0,0.00545,0,0.00607,0,0.37604,0,0,0,0.03096,0,0.0302,0.03966,0,0,0,0,0,0,0,0,0,0.43683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041,0.00051,0,0,0.88757,0,0,0,1.81339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01011,0,0,0,0,0,0,0,0,0,0,0,0.00267,0,0,0,0,0,0,0,0.06656,0,0,0.03336,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03979,7.03875,0.31036,0.16671,0.03686,0.03447,0.01327,0.00429,0.00358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
PRJNA231909.3108874,0,0.01043,0,13.201,0.60247,0,0,2.53954,0,2.90894,1.26138,0.34748,6.4003,0,0,0.01435,0,1.84465,0.0089,17.94668,0.03184,0.07159,0,0,0,0,0,0,0,0,0.59234,0,12.21407,0,0,0,0,0,0,0,11.50046,0,0,0,0,0,0,0,0,0.30008,7.06461,0,0,10.05743,0,0,0,0.00341,0,0,0,0,0,0.01061,0,0,0,0,0,0,0.09147,0,0,0,0,0,0,0,0.01541,0,0,0,0,0,0,0,0,0,0,8.38272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24368,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08125,0.00328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
PRJNA231909.3108875,0,2.10119,9.69334,1.60265,0.01743,0.46369,0.89361,3.42695,0,0.64176,0,0.03375,0.38924,0.01578,0,0,4.55491,6.23356,0,0.06053,0.04887,0.07992,0,0,0,0.08961,0,0,0,0,0,0,5.49181,0,0,0,0,0,0,0,1.1501,0,0,0,0,5.74413,0,1.30287,0,0.41509,0.87771,0,1.22095,1.35693,0,0,0.08493,21.22675,0,0,0,0,0,2.99024,0,0,5.91669,0,0.58933,0,0.05707,0,0,0,0.0389,0,0,0,0.39899,0,0,0,0,0,0,1.96625,0,0,0,0.4014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01606,0,0.39512,0,0,0,0,0,0,0,0.00275,0,0,0,0,0,0,0.00612,0.1122,0,0,0.08868,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6144,1.27769,0,2.67923,0,0,0.01491,0,0,0,6.46126,0,0,0.28783,0,0,0,0,2.71482,0.81696,0,0.07807,0,0,0,0,0,0,0.17263,0,0,0,0,0,0,0.0562,0,0.05088,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21085,0,0.01686,0.0053,0,0.95735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21899,0,0,0,0,0,0,0,0.06384,0,0,0,0,0,0,1.06111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
PRJNA231909.3113669,0,0.01323,4.764,10.7522,0,0.29882,0.63296,1.2532,0,1.18656,0.09051,0.06733,0.57991,0.03855,0,0.02653,6.4447,11.65336,0,0.09057,0.09591,0.18931,0,0.00439,0,0.02191,0,0,0,0.02351,0,0,7.90686,0,1.74251,0,0,9.55753,0,0,0,0,0,0,0,12.90914,0,0.01114,0,0.58971,0,0,0,0.04444,0,0.0318,0.03295,2.27071,0,0,0,0,0,5.71974,0,0,4.06382,0.16525,1.27283,0,0,0,0,0,0,0,0,0,0.03096,0,0,0.01247,0.28509,0,0,0.33694,0,0,0,0.67663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38984,0,0,0,0,0.00629,0,0,0,0,0,0,0,0,4.54271,4.57855,0.01853,1.18074,0.03417,0,0,0.00103,0.01439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05016,0,0.28479,0,0,0.00697,0,0,0,0,0,0,0,0,0,0,0.06995,0,0,0.43061,0,0.03634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11314,0,0,0,0.01121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35564,0.00318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
PRJNA231909.3114784,3.17747,0.00941,3.96764,2.75503,0,0.95735,0.92397,4.58572,0,4.37715,0.30947,0.1446,0.2177,0.02138,0,0.03815,0.11846,9.87174,0.01064,0,0.08912,0.13805,0,0,0.01322,0.04307,0,0,0.12387,0.01109,0,0,8.84229,0,3.72925,0,0,3.26117,0,0,2.33235,0,0,0,0,9.35514,0,0.0078,0,0.40156,0.01601,0,0,0.27478,0,0.01244,0.08935,1.02661,0,0,0.00329,0,0,13.23536,0,0,8.45116,3.69891,0.20789,0,0,0,0,0,0,0,0,0,0.07934,0,0,0.00117,0.27257,0,0,0.10457,0,0,0,0.43672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01094,0,0,0,0,0,0.01726,0,0,0,0,0,0.01494,0,0,0,0,0,0,0,0.03233,0,0,2.27534,0,0,0,0,0.00431,0,0,0,0,0,0,0,0,0.58151,5.3637,0.03318,0.16077,0.04263,0,0.01302,0,0,0,0,0,0,0,0,0,0,0,0.12855,0,0,0,0,0,0,0,0,0,0,0,0,0.98909,0,0,0,0.26057,0,0.52408,0.01229,0,0.00971,0,0,0,0,0,0,0,0,0,0,0.85917,0,0,0,0,0.08156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02495,0,0,0,0,0,0,0,0.03349,0,0,0,0.02594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
PRJNA231909.3111969,8.7134,0.02654,12.35639,0.45076,0.28448,0.00632,0.85867,1.58854,0,0.09781,0,0.03147,0.08219,0,0,0,2.32315,1.86264,0,0,0.03794,0.05092,0,0.65071,0,0,0,0,0.01119,0,0,0,22.61294,0,2.35263,0.27909,0,0,0,0,0.00094,0,0,0,0,1.31801,0,0,0,0.34025,3.45461,0,0,0,0,0,0,8.68901,0,0,0,0,0,0.6817,0.24645,0,2.53422,0,0.07135,0.02586,0.01108,0,0,0,0,0,0,0,0.02499,0,0,0,0,1.21196,0,0,0,0.27985,0,0.33858,0,0,0,0,0,0,0,0,0,0,0,0.0017,0,0,0,0,0,0,0,0,0.30749,0,0,0.59283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02379,0,0,9.0577,0,0,0.00328,0,0,0,0.06593,0,0,0,0,0,0,0,0,0,0.19499,0.09488,0,14.58029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18249,0,0,0,0,0,0,0,0,0,0.66513,0,0,0,0,0.23858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
PRJNA231909.3111970,16.95125,0.02322,5.80775,0.82096,0.02535,0.01493,0.6212,1.57763,0,0.0657,0,0.05618,0.02459,0.00729,0,0,4.33527,2.62085,0.01488,0.00264,0.01872,0.02335,0,1.12042,0,0,0,0,0.02873,0,0,0,9.33601,0,7.24355,0.52777,0,0,0,0,0.00279,0,0,0,0,2.40917,0,0,0,0.18395,5.29706,0,0,0.02026,0,0,0,12.65031,0,0,0,0,0,1.89465,1.0411,0,3.93666,0,0.01229,0,0.0186,0,0,0,0,0,0,0,0,0,0,0,0,2.13182,0,0,0,3.03124,0,0.13835,0.48189,0,0,0,0,0,0,0,0,0,0,0.00233,0,0,0,0,0,0,0,0,0.27233,0,0.00392,1.21256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00478,0.03366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41129,0,0,0,0,0,0,0.71803,0,0,0,0,0,0,0.00053,0,0,1.08542,0.10864,0,5.42628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118,0,0,0,0,0,0,0,0,0,0,0,0.06359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2091,0,0,0,0,0,0,0,0.01655,0,0.77128,0,0,0,0,0.04311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
PRJNA231909.3112924,7.26118,0.0302,6.36305,1.20449,0.23149,0.03246,0.91344,1.11036,0,0.04801,0,0.01627,0.05091,0.00845,0,0,5.60493,3.3694,0.05236,0,0.0103,0.0135,0,0.78045,0,0,0.02837,0,0.03191,0,0,0,21.06207,0,6.74429,0.58276,0,0,0,0,0.00328,0,0,0,0,3.6678,0,0,0,0.13394,5.04942,0,0,0,0,0,0,7.81274,0,0,0,0,0,3.12064,1.72223,0.01977,2.4594,0,0.08124,0.00063,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56005,0,0,0,0.67517,0,0.08786,0.72488,0,0,0,0,0,0,0,0,0,0,0.00486,0,0,0,0,0,0,0,0,0.3017,0,0,0.93285,0,0,0,0,0,0,0,0,0.00095,0,0,0.00166,0.22182,0,0,0.01181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18656,0,6.56453,0,0,0.01391,0,0,0,0.44169,0,0.7093,0,0,0,0,0,0.00894,0,0.22141,0.02938,0,7.77964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01517,0,0,0.10304,0,0,0,0,0,0,0,0,0,0.63724,0,0,0,0,0.13353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
PRJNA231909.3112925,4.11146,0.02686,9.67779,0.59076,1.178,0.09279,1.5616,2.78596,0,0.24659,0,0.07535,0.21279,0,0,0,4.51132,2.09349,0,0,0.04198,0.05034,0,0.5309,0,0.06578,0.57171,0,0.10311,0.01289,0,0,22.81628,0,2.54931,0.75803,0,0,0,0,0.00526,0,0.00119,0,0,2.99201,0,0,0,0.40949,3.96589,0,0,0,0,0,0,5.68342,0,0,0,0,0,1.67366,1.42966,0.08,3.38728,0,0.1412,0.05864,0,0,0,0,0,0,0,0,0.01173,0,0,0,0,1.23008,0,0,0,0.69612,0,1.12134,0.50612,0,0,0,0,0,0,0,0,0,0,0.00464,0,0,0,0,0,0,0,0,0.59326,0,8e-04,1.25628,0,0,0,0,0,0,0,0,0.04916,0,0,0.02577,1.49608,0.00613,0,0.0737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58672,0,6.36131,0,0,0,0,0,0,1.12753,0,0.43091,0,0,0,0,0.06209,0.16336,0,0.35584,0.15059,0,7.30631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00269,0,0.00327,0,0,0,0,0,0,0,0,0,0.04032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0757,0,0,0.24156,0,0,0,0,0,0,0,0.01715,0,1.19575,0,0,0,0,0.28899,0,0,0,0,0,0,0,0,0.02592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
PRJNA231909.3113339,9.59971,0.02854,8.33337,0.04459,0.06961,0.02238,2.15084,1.3498,0,0.00856,0,0.01904,0.06387,0.00901,0,0,2.74645,1.80996,0.09405,0,0.01949,0.0265,0,0.27885,0,0.01058,0.01601,0,0,0,0,0,22.07287,0,4.83882,0.33054,0,1.44689,0,0,0.00112,0,0,0,0,1.71684,0,0,0,0.18744,10.1305,0,0,0,0,0,0,6.47297,0,0,0,0,0,1.68284,1.21584,0.00044,2.12352,0,0.21836,0.25944,0,0,0,0,0,0,0,0,0,0,0,0.00126,0,1.44107,0,0,0,1.03256,0,0.15524,0.93819,0,0,0,0,0,0,0,0,0,0,0.00371,0,0,0,0,0,0,0,0,0.12149,0,0.0209,0.47459,0,0,0,0,0,0,0,0,0,0,0,0,0.07227,0,0,0.01494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19121,0,5.19979,0,0,0,0,0,0,0.06391,0,0.14052,0,0,0,0,0,0.10295,0,0.19283,0.03762,0,9.25409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34339,0,0.00264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01002,0,0,0.05186,0,0,0,0,0,0,0,0.00927,0,0.51654,0,0,0,0,0.11018,0,0,0,0,0,0,0,0,0.08498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
